"Extraction des données du guide Codelico",,,,,,,,,,,,,,,,,"Les catégories sont les niveaux de titres (2.1, 2.1.1, 2.1.2,  2.2, 2.3…) cf page 3 du guide pdf",,,,"Cette colonne sert pour les pictos !",,,,,,,
"Copiez-coller les entrées dans l'ordre où elles apparaissent dans le guide PDF. Le texte complémentaire sera exploité par la suite.",,,,,,,,,,,,,,,,,"Conseil : copiez-collez  toutes les entrées d'une section puis collez la liste de catégories dans toutes les cases correspondantes",,,,,,,,,,,
"Guide du Codelico en PDF : http://codelico.67.free.fr/guide/2018_codelico_guide_p.pdf",,,,,,,,,,Lun,Mar,Mer,Jeu,Ven,Sam,Dim,,,,,,,,,,,,
Nom,adresse,"Code postal",Ville,Téléphone,Email,"Site web","Texte complémentaire Codelico",Public,"Période de l'année","Horaires d'ouverture",,,,,,,"Liste de catégories","Notes complémentaires","Type ",Pays,urlImg,,,,Service,"Horaire ouverture","Horaire fermeture",Jours
"Communauté Emmaüs Scherwiller  ","6 place de l'Abbé Pierre  ",67750,SCHERWILLER,"03 88 82 05 24 ",scherwiller@emmaus-alsace.com,http://www.emmaus-alsace.com,"Possibilité de repas chaud. Public masculin et féminin. Du lundi au samedi, 12h-13h30 et 18h-19H","Hommes, Femmes.",,"12h-13h30, 18h-19h","12h-13h30, 18h-19h","12h-13h30, 18h-19h","12h-13h30, 18h-19h","12h-13h30, 18h-19h","12h-13h30, 18h-19h",,"Vie quotidienne, Alimentation, Restauration",,organisation,FR,,,,,,,,
Abribus,"Maison des associations 1a place des Orphelins",67000,Strasbourg,,contact@association-abribus.fr,http://www.association-abribus.fr,"Passage de l'abribus de début-octobre à début mai.  Repas chauds. Sans participation et sans inscription. Jeudi, samedi et dimanche :  - place de la gare 19h-20h.    - place de la Bourse 20h30-21h15.",,"Octobre à mai",,,,,,,,"Vie quotidienne, Alimentation, Restauration",,organisation,FR,,,,,,,,
"Armée du Salut  ","Poste de Strasbourg 12 rue des Cordonniers ",67000,Strasbourg,"03 88 32 54 58",postestrasbourg@armeedusalut.fr,http://www.armeedusalut.fr,"Ouvert de mi-septembre à mi-juin. Petits-déjeuners.  Tout public. Lundi, mardi, vendredi et samedi. De 7h30 à 9h.",,"mi-septembre à mi-juin",,,,,,,,"Vie quotidienne, Alimentation, Restauration",flyer,organisation,FR,,,,,,,,
"Caritas Alsace","Antenne Arc en ciel 13 rue de l'Arc-en-ciel",67000,Strasbourg,"03 88 36 76 67",permanence.arcenciel@caritas-alsace.org,http://www.caritas-alsace.org,"Espace rencontre : petits déjeuners pour toutes personnes. Tout public via l'établissement d'une carte d'accès. Lundi, mardi, mercredi, jeudi, vendredi, de 8h à 9h30, toute l'année. Samedi de 9h à 10h30, d'octobre à mai. Dimanche de 9h à 10h30, de novembre à mi-avril.",,,,,,,,,,"Vie quotidienne, Alimentation, Restauration",flyer,organisation,FR,,,,,,,,
"Club des jeunes l'Étage  ","19 quai des Bateliers  ",67000,Strasbourg,"03 88 35 70 76 ","accueil@etage.fr ",http://www.etage.fr,"Restauration collective (entrée, plat, dessert), menu unique servi à table. Menu disponible sur le site internet. Repas : 1,50 € pour les moins de 25 ans. Carte de 10 repas :10 €  2,50 € pour les plus de 25 ans. Carte de 10 repas : 20 €  Petit déjeuner : 0,50€ pour les moins de 25 ans / 1€ pour les autres. Repas et petit déjeuner gratuits pour les enfants de moins de 13 ans. Jeunes de moins de 25 ans prioritairement, mais ouvert à tout public. Petit déjeuner : du lundi au vendredi de 8h45 à 10h30. Repas : du lundi au vendredi de 12h à 14h (repas servis jusqu'à 13h30) et de 18h à 20h (repas servis jusqu'à 19h30). Dimanche : uniquement le midi (repas servis de 12h à 13h30). Le temps des travaux de réhabilitation de ses locaux situés au 19 quai des bateliers, le service social, l’accueil de jour et le restaurant social de l’Etage déménagent, juste derrière, dans un bâtiment provisoire sur la Place Sainte-Madeleine.",,,,,,,,,,"Vie quotidienne, Alimentation, Restauration",flyer,organisation,FR,,,,,,,,
"Les Restos du Coeur","La Fringale 1 rue du Rempart  ",67000,Strasbourg,"03 88 13 63 24 ",ad67.fringale@restosducoeur.org,http://ad67.restosducoeur.org/,"Petit déjeuner : du lundi au dimanche de 8h30 à 9h30 toute l'année. Repas : lundi, mercredi et vendredi de 12h à 14h. Repas chauds en soirée : distribués par le Bus du Cœur.  Toute l'année : soupe, sandwichs. Personnes sans domicile fixe. Bus du Coeur, de septembre à juillet : Place de la Bourse : lundi et mercredi de 19h30 à 21h30. ",,,,,,,,,,"Vie quotidienne, Alimentation, Restauration",flyer,organisation,FR,,,,,,,,
"Les Sept pains ","8 rue de l'Arc en ciel",67000,Strasbourg,"03 88 24 71 00",accueil@les7pains.fr,http://www.caritas-alsace.org/etablissements/7-pains,"Restauration en self-service. Sur prescription d'un service social ou d'une association caritative partenaire. Public : personnes en situation de grande précarité. Du lundi au samedi, de 12h à 13h, et de 18h à 19h.",,,,,,,,,,"Vie quotidienne, Alimentation, Restauration",,organisation,FR,,,,,,,,
"Ordre de Malte",,67000,Strasbourg,,"delegation67@ordredemaltefrance.org ",http://www.ordredemaltefrance.org,"Petits déjeuners au  Foyer Notre Dame, 3 rue des Échasses à Strasbourg. Personnes isolées ou sans abris. De novembre à fin mars. le samedi matin de 8h30 à 11h.",,,,,,,,,,,,organisation,FR,,,,,,,,
