Nom,adresse,Code postal,Ville,Téléphone,Email,Site web,Texte complémentaire Codelico,Liste de catégories,Type,Pays,urlImg
Accueil sans frontières 67,11 a route de bitche,67500,Haguenau,03 88 93 53 44,Asf67@asf67.com,,"110 places à haguenau. accueil de demandeurs d’asile en logements. durée d’hébergement : le temps de la procédure. admission : locale ou nationale. demandeurs d'asile : familles ou personnes isolées. de 8h30 à 12h30 et de 13h30 à 18h///, Service d'urgence. 224 places à sarre union - benfeld - bouxwiller - haguenau - saverne - sélestat - wasselonne - molsheim. accueil en logements de demandeurs d’asile. durée d’hébergement : le temps de la procédure. admission : locale. demandeurs d’asile : familles ou personnes isolées. de 8h30 à 12h30 et de 13h30 à 18h.cada saverne. 116 places à saverne, bouxwiller, wasselonne sarre-union et molsheim. accueil de demandeurs d’asile en logements. durée d’hébergement : le temps de la procédure. admission : locale ou nationale. demandeurs d'asile : familles ou personnes isolées. de 8h30 à 12h30 et de 13h30 à 18h///, Nombre de places : 100. accueil de demandeurs d’asile en logements. durée d’hébergement : le temps de la procédure. admission : locale ou nationale. demandeurs d'asile : familles ou personnes isolées. de 8h30 à 12h30 et de 13h30 à 18h.///, Dispositif ""plan de réduction des nuitées hôtellières"". 130 places en logements diffus sur l'eurométropole et sélestat. ménages aux droits complets, familles. (non actualisé)///, Action insertion régularisés. logement accompagné, à bail glissant ou direct. capacité : 60 places. asf 67 propose : - un accès rapide et durable au logement ; - un accompagnemt personnalisé à la recherche d’emploi ; - un accompagnemt social et administratif ; - un suivi lié au logement. familles régularisées issues en priorité des structures d’urgence du département. lundi à vendredi : 8h30 - 12h30 et 13h30 à 19h (vendredi 16h30). (non actualisé)///, Action insertion réfugiés. logement accompagné, à bail glissant ou direct. capacité : 70 places. asf 67 propose : - un accès rapide et durable au logement ; - un accompagnement personnalisé à la recherche d’emploi ; - un accompagnement social et administratif ; - un suivi lié au logement. réfugiés statutaires, familles ou personnes isolées, bénéficiaires d'une protection internationale. cofinancement par fami. lundi à vendredi : 8h30 - 12h30 et 13h30 à 19h (vendredi 16h30). (non actualisé)///","Hébergement d'urgence / mise à l'abri, centre d'hébergement et de réinsertion sociale, hébergement//logement d'insertion - a bail glissant - intermédiation locative, hébergement/hébergement pour migrants, Hébergement - logement",Association,Fr,
Antenne,9 rue déserte,67000,Strasbourg,03 88 32 98 62,Association.antenne@orange.fr,Http://ass.antenne.free.fr / http://associationantenne.wordpress.com/,"Soutien psychologique, aide pour les dossiers administratifs, aide dans les démarches d’insertion dans le cadre du rsa. du lundi au vendredi de 8h30 à 12h et de 14h à 16h, sauf mercredi après-midi.///, Sans domicile et bénéficiaires du rsa. du lundi au vendredi de 8h30 à 12h et de 14h à 16h, sauf mercredi après-midi///, Accompagnement social et psychologique dans le cadre du dispositif rsa, accompagnement collectif et individuel renforcé vers l'emploi, parcours inform'action du lundi au vendredi de 9h à 12h sur inscription aux sessions, du lundi au vendredi de 8h30 à 12h, et de 14h à 17h, sauf mercredi après-midi.///","accompagnement social, domiciliation, Lieu d'accueil et d'orientation, Insertion",Association,Fr,
Castrami,6 rue de rosheim,67000,Strasbourg,03 88 35 52 72,Castrami@wanadoo.fr,Http://www.castrami.fr,"Accompagnement dans les démarches d'insertion, d'accès aux soins, aux droits et cmu. accompagnement social des bénéficiaires du rsa. appui aux professionnels (mairies, ccas, cms, ofii...) pour la réglementation de séjour et les problèmes spécifiques aux populations issues de l'immigration. personnes immigrées ou issues de l'immigration. lundi à vendredi 8h30 - 11h30 et 13h30 - 16h///, Service d'interprétariat en langues arabe, russe et turque, pour acteurs sociaux et professionnels. - service de traduction en langues russe, géorgienne, turque et arabe pour publics et pour professionnels (a.s., médecins, etc.). participation aux frais administratifs pour les non-bénéficiaires du rsa///, Accompagnement dans les démarches d'insertion, d'accès aux soins, aux droits et cmu. accompagnement social des bénéficiaires du rsa. appui aux professionnels (mairies, ccas, cms, ofii...) pour la réglementation de séjour et les problèmes spécifiques aux populations issues de l'immigration. personnes immigrées ou issues de l'immigration. lundi à vendredi 8h30 - 11h30 et 13h30 - 16h.///","accompagnement social, accès aux droits, insertion, Insertion",Association,Fr,
Centre social protestant,2 rue brûlée,67000,Strasbourg,03 88 32 73 11,Csp@semis.org,Http://www.csp.semis.org,"Information, orientation, aides. ateliers participatifs ponctuels. - «pause café» mardi de 14h à 16h, salle paroissiale du temple neuf (salle wohlfahrt), 6 rue du temple neuf, au rdc. - espace écoute et parole : accueil et suivi par une psychologue, le mardi toute la journée et le mercredi matin sur rdv.///, Jeudi matin à partir de 8h30, uniquement sur prescription d’un travailleur social. tarif spécial : 1€ par adulte et 0,50€ par enfant jusqu’à 13 ans. tout public. mercredi vente à petits prix (magasin de vêtements d’occasion). mercredi de 9h à 12h et de 14h à 17h. vendredi de 13h à 17h.///, Colis alimentaires, accompagnement social, administratif, budgétaire et réinsertion en partenariat avec le travailleur social référent. participation financière 1,50€ par adulte et 0,75€ par enfant jusqu’à 13 ans (sauf exception). tout public. lundi et jeudi à partir de 8h30, mardi à partir de 14h///, Suivi social en lien avec le travailleur social référent. tout public. lundi et jeudi à partir de 8h30, mardi à partir de 14h, et sur rdv.///","hygiène, Lieu d'accueil et d'orientation, accompagnement social, Vie quotidienne, vestiaire, Insertion, aide alimentaire, alimentation",Association,Fr,
Home protestant,7 rue de l'ail,67000,Strasbourg,03 88 32 29 45,Secretariat@homeprotestant.fr,,"Tél. 03 88 16 36 49. crèche située 10 rue de la 1re armée à strasbourg. capacité : 10 enfants. lieu d’accueil s’adressant à un public en difficulté sociale, confronté à l’isolement, dont les conditions d’hébergement sont précaires. il propose un mode de garde suffisamment souple et adapté aux besoins spécifiques de ce public et vient en appui à la démarche d’insertion///, 33 places. hébergement d'urgence / de stabilisation. hébergement provisoire pour femmes avec ou sans enfants : femmes victimes de violences, sorties de l’hébergement d’urgence, sous addiction, psychologiquement fragiles, jeunes femmes en rupture familiale peu autonomes, femmes en situation de régularisation administrative. chambre individuelle. pas de repas commun. suivi individualisé par ts. participation financière : 3 € /nuit.///, 33 places. hébergement d'urgence / de stabilisation. hébergement provisoire pour femmes avec ou sans enfants : victimes de violences, sorties de l’hébergement d’urgence, sous addiction, psychologiquement fragiles, jeunes femmes en rupture familiale peu autonomes, femmes en situation de régularisation administrative. chambre individuelle. pas de repas commun. suivi individualisé par ts. participation financière : 3 € /nuit.///, Capacité : 45 places (21 en chrs insertion et 24 en chrs éclaté).. accueil chrs classique. rapport social - entretien de préadmission, commission d'attribution siao. suivi individualisé par ts. chambre individuelle. pas de repas commun. participation : 10 % des revenus. hébergement et travail d’insertion pour femmes avec ou sans enfants et couples : en situation de rupture familiale ou conjugale, victimes de violences, en difficulté sociale, économique, expulsés d’un logement locatif. 18 logement d'insertion. 1 chambre d'extrême urgence, réservée : à la gendarmerie / police. - aux ts qui font un signalement. femmes seules ou avec enfants, couples avec enfants, en difficulté sociale, familiale ou conjugale.///","Hébergement de stabilisation/réservé aux femmes, centre d'hébergement et de réinsertion sociale, Mini-crèche sociale, Hébergement d'urgence / mise à l'abri réservé aux femmes, Hébergement - logement",Association,Fr,
Ithaque,12 rue kuhn,67000,Strasbourg,03 88 52 04 05,Ithaque@ithaque-asso.fr,,"Lave-linge et sèche-linge accessibles après inscription selon les places disponibles. personnes présentant des addictions reçues dans le cadre des lieux d'accueil caarud et csapa. lundi de 9h à 11h et de 14h à 17h. mardi de 9h à 11h et de 15h à 17h. mercredi de 9h à 12h et de 15h à 19h. jeudi de 9h à 12h. vendredi de 14h à 17h.///, Unité mobile de dépistage et de réduction des risques en alsace du nord. unité de soins et de prévention. trod et fibroscan. conseils et informations. dépistage vih hépatites. matériel de réduction des risques liés à l'usage de drogues. tél. 07 85 16 32 89. n° vert : 0800 670 569 antenne.mobile@ithaque-asso.frwissembourg, bischwiller, bouxwiller, ingwiller, soultz-sous-forêts. octobre à mars : mardi et jeudi 16h-19h avec ou sans rv. avril à septembre : mardi et jeudi 17h-20h avec ou sans rv.///, Consultations en csapa (centre de soins, d’accompagnement: et de prévention en addictologie). accompagnement médical, social, psychologique et infirmier. accompagnement pluridisciplinaire proposé aux personnes présentant des addictions. prise en soins et dépistage vih, vhc et vhb. centre de soins délivrant in situ un traitement de substitution aux opiacés (tso). possibilité de faire un trod (tests rapides d'orientation diagnostique), ou de passer un fibroscan les mercredis et vendredis après-midi. dépistage anonyme et gratuit. personnes présentant des addictions avec ou sans produits. lundi de 9h à 11h et de 14h à 17h. mardi de 9h à 11h et de 15h à 17h.mercredi de 9h à 12h de 15h à 19h. jeudi de 9h à 12h. vendredi de 14h à 17h.programme d'échange de seringues anonyme et gratuit. unité mobile et lieu fixe. accès facilité au matériel d'injection stérile. conseils et informations. unité mobile faisant partie du centre d’accueil et d’ accompagnement à la réduction des risques pour usagers de drogues (caarud). personnes présentant des addictions. place blanche. lundi et vendredi de 20h à 23h///, Douches. personnes présentant des addictions reçues dans le cadre des lieux d'accueil csapa et caarud. lundi de 9h à 11h et de 14h à 17h. mardi de 9h à 11h et de 15h à 17h.mercredi de 9h à 12h de 15h à 19h. jeudi de 9h à 12h. vendredi de 14h à 17h.///, Programme d'échange de seringues anonyme et gratuit, en unité mobile et en lieu fixe, accès facilité au matériel d'injection stérile, dans le cadre de la réduction des risques. conseils et informations. unité mobile faisant partie du centre d’accueil et d’ accompagnement à la réduction des risques pour usagers de drogues (caarud). personnes présentant des addictions. place blanche. lundi et vendredi de 20h à 23h///, Aide, soutien et accompagnement dans les démarches de soins. 2 établissements distincts : caarud et csapa. accompagnement psychologique, social et/ou médical, durant les plages d'ouverture (avec ou sans rdv en fonction des possibilités). accompagnement par une équipe pluridisciplinaire. personnes présentant des addictions. lundi de 9h à 11h et de 14h à 17h. mardi de 9h à 11h et de 15h à 17h.mercredi de 9h à 12h et de 15h à 19h. jeudi de 9h à 12h. vendredi de 14h à 17h.///, Accompagnemt social. aide à l'accès aux droits et aux soins. accompagnement psychologique de préférence sur rdv. accompagnement médical et infirmier. possibilité de traduction et d'interprétariat. accès à du matériel pour réduction des risques. consultations au caarud (centre d'accueil, d'accompagnement à la réduction des risques pour usagers de drogues). accueil anonyme et gratuit. personnes présentant des addictions avec ou sans produits. lundi de 9h à 11h et de 14h à 17h. mardi de 9h à 11h et de 15h à 17h.mercredi de 9h à 12h de 15h à 19h. jeudi de 9h à 12h. vendredi de 14h à 17h.///, Accompagnement social. aide à l'accès aux droits et aux soins. accompagnement psychologique de préférence sur rdv. accompagnement médical et infirmier. possibilité de traduction et d'interprétariat. accès à du matériel pour réduction des risques. consultations au caarud (centre d'accueil, d'accompagnement à la réduction des risques pour usagers de drogues). accueil anonyme et gratuit. personnes présentant des addictions avec ou sans produits. lundi de 9h à 11h et de 14h à 17h. mardi de 9h à 11h et de 15h à 17h.mercredi de 9h à 12h de 15h à 19h. jeudi de 9h à 12h. vendredi de 14h à 17h.///","hygiène, laverie, Santé, Accueil et service médicalisés / addictologie, Lieu d'accueil et d'orientation, accès aux soins, accueil et service médicalisés, Vie quotidienne, accompagnement social, Insertion, unité mobile de soins et de prévention, douche",Association,Fr,
Mouvement français pour le planning familial,13 rue du 22 novembre,67000,Strasbourg,03 88 32 28 28,Mfpf67@wanadoo.fr,Http://bas-rhin.planning-familial.org,"Dépistage ist, hépatites, sida. contraception. gratuit pour les moins de 20 ans et les non-assurés sociaux. sur rdv au au 03 88 32 28 28.///, Planning familial et pmi. pour mineurs et non assurés sociaux. lundi 14h-17h, mardi 16h30-19h, mercredi 14h-19h, jeudi 12h-14h30 et 16h30-19h, samedi 10h-12h. permanence téléphonique : du lundi au samedi de 9h à 12h, mardi, mercredi et vendredi de 16h30 à 19h30///, Dépistage sida et ist. contraception. gratuit pour tout public. sur rdv au 03 88 33 09 15.///","Accueil et service médicalisés / dépistage gratuit sida et ist, Accueil et service médicalisés/ planning familial",Association,Fr,
Secours populaire français,150 avenue de colmar,67100,Strasbourg,03 88 36 28 91,Contact@spf67.org,Https://www.secourspopulaire.fr/67/,"Veti coeur. proposition de vêtements neufs et d'occasion, linge de maison, produits d'entretien, décoration, bric à brac, petit ameublement. participations variables. tout public en difficulté. lundi de 13h30 à 17h, mardi, jeudi et vendredi de 10h à 12h et de 13h30 à 17h, et le 2e samedi du mois de 9h à 16h. (non actualisé)///, Permanence d'accueil et de solidarité. écoute, information, orientation et aides par bénévoles. tout public en difficulté. samedi : coiffeur 13h30 à 15h30 sur rdv, contre participation de 2 €. lundi de 14h à 16h30, mardi, jeudi et vendredi de 9h30 à 11h30 et de 14h à 16h30. (non actualisé)///, Cours d'initiation à la langue française. inscription pendant les permanences d'accueil et de solidarité, 150 av. de colmar. tout public en difficulté. lundi, mardi et vendredi de 10h à 11h30///, Libre service de la solidarité alimentaire. une aide alimentaire est apportée aux personnes en difficulté après avoir échangé avec nos bénévoles. familles en difficulté. strasbourg et eurométropole. (non actualisé///, Coiffeur le vendredi après-midi sur rendez-vous de 14h à 17h, et contre participation de 2 euros.///, Permanences d'accueil et de solidarité. accompagnement, loisirs, culture. aide sous diverses formes. personnes en difficultés. bischwiller et environs. sur rendez-vous par téléphone 06 81 01 50 12 ou le mardi 14h - 16h, 22 rue de la gare à bischwiller. (non actualisé)///","hygiène, alphabétisation, Lieu d'accueil et d'orientation, accompagnement social, Vie quotidienne, vestiaire, Insertion, aide alimentaire, alimentation",Association,Fr,
1001 piles,25 route du polygone,67000,Strasbourg,,,,Horaires du magasin,"Carillon, batterie, robinet, couteau suisse",Entreprise,Fr,
Abba,32 rue du languedoc,67100,Strasbourg,06 14 31 22 25,Contact@strasbourg-abba.com,Http://strasbourg-abba.com,"Foyer d'hébergement. 5 places en chambres individuelles meublées. pour hommes. durée : 1 mois renouvelable. sans limite de durée. public : personne en démarrage de vie professionnelle, chômeur en recherche d'emploi, personne ayant besoin transitoirement d'une structure de soutien.","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement/foyer",Association,Fr,
